campaign_id;campaign_name;installs;spend;revenue_t3;revenue_t4;total_revenue;profit;roas;profit_status;roas_benchmark;Столбец1
998337322;mock_campaign_fe944d1c;46799;2212.6867148392066;1611.0713525851957;6523.5892509869;8134.6606035720961;5921.9738887328895;3.6763725063370449;profitable;good result;
140410898;mock_campaign_a2e93e84;5974;2958.8095718483955;2334.9503153140859;5516.3960441943982;7851.3463595084841;4892.5367876600885;2.6535490604769389;profitable;below the minimum acceptable level;
161694703;mock_campaign_2c0c0430;89231;3126.8997111897806;1887.3626891346869;5049.4263900287006;6936.7890791633872;3809.8893679736066;2.2184239086209612;profitable;below the minimum acceptable level;
262368493;mock_campaign_c13d8f45;14676;1279.2405186109131;462.33927098058763;1784.2244011471996;2246.5636721277874;967.3231535168743;1.7561698831797947;profitable;below the minimum acceptable level;
739276167;mock_campaign_1fbdf2e3;3889;2726.081430682651;2499.912320635598;999.62932999999964;3499.5416506355978;773.46021995294677;1.2837260146551313;profitable;below the minimum acceptable level;
792104306;mock_campaign_6fcee95d;30448;1499.2572798527267;628.79706165630228;1510.3152958147002;2139.1123574710027;639.855077618276;1.4267813711607453;profitable;below the minimum acceptable level;
243641668;mock_campaign_1e8723bd;16329;571.65650161514122;560.35682109940035;619.0780543476;1179.4348754470002;607.778373831859;2.0631880720584128;profitable;below the minimum acceptable level;
557162896;mock_campaign_b0c8a1e0;5171;476.76490715919857;200.04539603700096;854.41970596840031;1054.4651020054011;577.70019484620252;2.2117087188493518;profitable;below the minimum acceptable level;
148918961;mock_campaign_993fe179;14061;1063.4212922877362;180.12438605630015;1453.0298930911001;1633.1542791474003;569.73298685966415;1.5357547295616008;profitable;below the minimum acceptable level;
261307969;mock_campaign_b4ba1e63;2507;1257.6668384341074;728.98213988609973;1012.2494127089001;1741.2315525949998;483.56471416089244;1.3844934917445768;profitable;below the minimum acceptable level;
788967442;mock_campaign_475f8981;69;6.9089672148;7.2526082447999984;326.25470093049995;333.50730917529995;326.59834196049997;48.271658962410392;profitable;excellent result;
510225620;mock_campaign_10287894;43747;367.34082660687142;110.2824440297003;442.987833155;553.27027718470026;185.92945057782885;1.5061497037921427;profitable;below the minimum acceptable level;
265069104;mock_campaign_b8b1eac5;1339;196.0346452542245;38.274491107000337;339.2661282672;377.54061937420033;181.50597411997583;1.925887227151061;profitable;below the minimum acceptable level;
432166127;mock_campaign_f8b84857;1953;153.20456134709994;177.93602713249993;90.0762116607;268.01223879319991;114.80767744609997;1.7493750606157994;profitable;below the minimum acceptable level;
810543724;mock_campaign_c492b014;83;31.805343333299987;32.8239940321;75.832786716700014;108.65678074880002;76.85143741550003;3.4163058581114916;profitable;good result;
900383572;mock_campaign_45368c6d;5773;144.71013060289346;207.79141887320063;7.6240227071;215.41544158030064;70.70531097740718;1.4885995934274516;profitable;below the minimum acceptable level;
974591165;mock_campaign_674dbd59;1487;28.447611096999886;17.890756059799994;73.6308403755;91.5215964353;63.073985338300112;3.2171979616577353;profitable;good result;
529859974;mock_campaign_d2ea5396;4551;113.11502619340169;104.73058400570032;60.9767126891;165.70729669480033;52.592270501398644;1.4649450410900979;profitable;below the minimum acceptable level;
232552584;mock_campaign_a5da28b5;837;599.50970929087066;367.67112498460006;277.5440923573;645.2152173419;45.705508051029369;1.0762381448418776;profitable;below the minimum acceptable level;
351751429;mock_campaign_b7e37028;1606;818.93556641591329;594.6574550426;266.63441148340007;861.291866526;42.35630011008675;1.051721163235662;profitable;below the minimum acceptable level;
611748075;mock_campaign_628993e1;86;12.538889164000006;12.2259176665;38.204261;50.4301786665;37.891289502499994;4.0219016219784791;profitable;good result;
199581943;mock_campaign_f81bdda1;1980;20.94410339910014;7.9265408357000053;42.6236570454;50.550197881100004;29.606094481999865;2.4135766004321715;profitable;below the minimum acceptable level;
